,product_id,discounted_price,actual_price
5381,B015ZXUDD0,479.0,
5397,B09PL79D2X,1598.0,
5405,B098K3H92Z,599.0,
5421,B084PJSSQ1,1299.0,
5437,B097C564GC,294.0,
5445,B08CYNJ5KY,,861.0
5453,B00Y4ORQ46,745.0,
5461,B074CWD7MS,1549.0,
5485,B00A0VCJPI,,2499.0
5493,B00UGZWM2I,198.0,
5501,B00R1P3B4O,,549.0
5517,B09DG9VNWB,12000.0,
5525,B09Y5MP7C4,1299.0,
5533,B01DJJVFPC,269.0,
5541,B07DFYJRQV,,
5549,B08L879JSN,6299.0,
5557,B08TDJNM3G,59.0,
5565,B06XSK3XL6,571.0,
5573,B07YNTJ8ZM,549.0,
5597,B07KR5P3YD,448.0,
5605,B08FB2LNSZ,,2999.0
5613,B01IBRHE3E,,499.0
5621,B01N6LU1VF,,1400.0
5629,B07XLML2YS,,3299.0
5637,B086WMSCN3,,5999.0
5645,B003B00484,,499.0
5669,B003L62T7W,,375.0
5677,B09P18XVW6,,4999.0
5685,B00LZLPYHW,,160.0
5701,B00NNQMYNE,,499.0
5709,B0B217Z5VK,1799.0,
5717,B07B88KQZ8,1999.0,
5733,B07Z3K96FR,399.0,
5741,B0756CLQWL,1699.0,
5749,B004IO5BMQ,699.0,
5765,B01HGCLUH6,1149.0,
5773,B01N4EV2TL,,1995.0
5781,B08MZQBFLN,,4999.0
5789,B0752LL57V,440.0,
5805,B09Z28BQZT,599.0,
5813,B094DQWV9B,149.0,
5821,B0BBMPH39N,,999.0
5829,B097JQ1J5G,179.0,
5837,B07YY1BY5B,1499.0,
5845,B08VRMK55F,399.0,
5853,B08CHZ3ZQ7,599.0,
5861,B08SCCG9D4,,2000.0
5869,B0972BQ2RS,,9999.0
5877,B00ZRBWPA0,159.0,
5885,B0B2DD66GS,,2900.0
5893,B09M869Z5V,570.0,
5901,B07W6VWZ8C,899.0,
5909,B07Z1X6VFC,449.0,
5917,B07YL54NVJ,549.0,
5925,B0759QMF85,1529.0,
5933,B00LM4X0KU,100.0,
5941,B08PFSZ7FH,,1499.0
5949,B012MQS060,1295.0,
5957,B01MF8MB65,699.0,
5965,B00LHZWD0C,252.0,
5973,B08QDPB1SL,190.0,
5981,B07BRKK9JQ,1299.0,
5989,B01EZ0X3L8,729.0,
5997,B00LM4W1N2,,600.0
6013,B08YD264ZS,,2499.0
6029,B00GZLB57U,238.0,
6037,B07V82W5CN,1349.0,
6053,B08HD7JQHX,199.0,
6061,B0B31FR4Y2,1999.0,
6069,B09Y14JLP3,99.0,
6077,B09ZHCJDP1,,1000.0
6085,B08C4Z69LN,,3500.0
6093,B016XVRKZM,,4100.0
6101,B00LHZW3XY,,180.0
6109,B098JYT4SY,,1190.0
6117,B08CFCK6CW,,7999.0
6125,B09P564ZTJ,235.0,
6133,B07MSLTW8Z,549.0,
6141,B09N6TTHT6,89.0,
6157,B098R25TGC,,2999.0
6165,B0B2PQL5N3,,999.0
6173,B07DKZCZ89,119.0,
6181,B08GYG6T12,449.0,
6189,B09BN2NPBD,,3495.0
6197,B00J4YG0PC,,720.0
6205,B073BRXPZX,289.0,
6213,B08LHTJTBB,599.0,
6221,B07VTFN6HM,5599.0,
6229,B008QS9J6Y,,2595.0
6237,B09M8888DM,499.0,
6245,B07Z1YVP72,449.0,
6253,B082FTPRSK,999.0,
6261,B09RF2QXGX,69.0,
6269,B01KK0HU3Y,899.0,
6277,B07JF9B592,478.0,
6285,B086394NY5,1399.0,
6301,B017PDR9N0,149.0,
6309,B07NC12T2R,1799.0,
6317,B07WKBD37W,,999.0
6325,B08JMC1988,,2490.0
6333,B09GFN8WZL,378.0,
6341,B095X38CJS,99.0,
6349,B07ZKD8T1Q,1499.0,
6357,B07G3YNLJB,,3100.0
